Label,Title
142,Fermilab reforça raio do próton calculado no livro “Sutil é a matemática”
143,Uma bala de prata contra a COVID-19 chamada máscara
144,Talvez experiencia possa medir a carga elétrica dos férmions do vácuo quântico
145,Ciência no Brasil
146,Teria Deus usado o número imaginário i ?
147,Tempo
148,Cargas elétricas
149,Ondas Gravitacionais
150,"Gabarito, a Conspiração do Silêncio não ocorre só no Cluble Ceticismo"
151,Consciência e seus desdobramentos
152,Bohr e a Conspiração
153,O complexo tupiniquim de inferioridade dos brasileiros
154,Pedido ao Presidente Lula
155,Um dos mais impressionantes cálculos da Física Teórica
156,"Minha palestra na 54ª Feira do Livro de Porto Alegre-RS, 2008"
157,Tópico sobre Saúde mental
158,Novas tecnologias
159,O dilema de um acadêmico: prestígio... ou a verdade científica?
160,Os implacáveis neutrinos exigem: que se encontre uma Nova Fisica
161,O livro Quantum Ring Theory: relíquia para colecionadores
162,Ele passa de um nível a outro por um misterioso jeito de Deus
163,O Big-Bang de João Magueijo
164,Os ETs estão aqui
165,O MUSE PROJECT e o colapso da Física Nuclear e Física de Partículas em 2024
166,Escaneamento cerebral
167,Masturbação frequente elimina pedras nos rins
168,Eutanásia
169,Pergunte a um esquizofrênico
170,Internet 5G - A tecnologia 5G pode fazer mal à saúde?
171,Mitos sobre Meio Ambiente
172,Notícias de ciências biológicas
173,Deus é Matemático
174,O futuro da física nas mãos do Project MUSE
175,O FIM DA MATÉRIA ESCURA ESTÁ CHEGANDO
176,"Mais uma teoria da Física que vai pelo ralo do esgoto, derrubada por uma nova experiência"
177,Riquezas minerais da Amazônia brasileira
178,Infográficos Interessantes
179,Tecnologia de espionagem pode tornar nosso ambiente menos inseguro?
180,Hipnose
181,"Mitos ""medicinais"""
182,Isolamento vertical/imunidade de grupo: salvação da economia?
183,A nova FISICA NUCLEAR vem vindo aí
184,"Neurônios: Se renovam totalmente, parcialmente ou não se renovam?"
185,O que o Inteligent Design estará aprontando para acontecer em 4/agosto/2022?
186,Bombando no Facebook
187,ScienceDirect: cold fusion: It’s not pathological science
188,Qual foi o motivo da extinção do original Clube Cético?
189,Semelhanças entre as teorias de Yukawa e Higgs
190,Uma pedra no sapato de Maria Borge.
191,Metaverse
192,COMO OS FÍSICOS CONTROLAM A MÍDIA
193,Universos paralelos
194,"Justificativa do Physics Forums para deletar meu tópico, e minha resposta"
195,Por quanto tempo uma verdade científica pode ser boicotada?
196,o que vai acontecer na física?
197,O que há de errado com o tempo na física?
198,O que é controverso na física?
199,De onde vem a energia do vácuo quântico?
200,Sobre a revisão por pares nos mainstreams jornais de fisica
201,Convite ao Reitor da UFJF: testar o conceito de acoplamento da eletrodinamica quantica
202,"2022, a próxima revolução na física"
203,Desktop no Android
204,Cultura e seleção sexual
205,Manter ou resgatar linha/número de telefone expirado
206,"Windows 10: desvantagens, bugs, etc."
207,Por qual motivo a ciência e os especialistas eram menos questionados no passado recente?
208,Astrofísica para leigos
209,"Voto eletrônico: Voto impresso, etc."
210,Por que a dengue não tem vacina atÉ hoje??? (Mas a Covid já)
211,Explicação Fisicalista da Consciência
212,Alexander Grothendieck
213,Vazamento de dados
214,Bugs da Natureza
215,Reinfecção
216,Arqueologia
217,Ficção & Ciência
218,"Como descobrir ""a verdade""?"
219,AJUDA - Melhor Sistema de Smartphone
220,Os Penis Estão Encolhendo Devido à Poluíção
221,Internet de alta velocidade
222,Novidades científicas que não merecem um tópico próprio
223,Psicose compartilhada
224,Imaginação
225,Poluição: Mitos e verdades
226,Hipótese Chumbo-Crime explicaria criminalidade?
227,Bioassinaturas em Venus
228,O erro de Libet: um famoso argumento contra o livre arbítrio foi desmascarado
229,Fisicalismo ao extremo recai no Idealismo?
230,As vantagens da carne de galinha em relação à de boi ou porco
231,Superbactérias
232,como sabemos que existem PARTES?
233,Gabriel Guerrer
234,"""O pequeno cientista nuclear"" - um kit com urânio de verdade foi vendido em 1950 para crianças"
235,Como acabar com uma pandemia em 4 ou 5 semanas
236,Diretrizes de Coronavírus para limpeza e desinfecção para impedir a transmissão de COVID-19
237,[Biologia] Criaturas Estranhas do Planeta Terra
238,Niveis de civilização.
239,Federação Russa
240,Feminismo e ideologia de gênero
241,Criminalidade
242,Aporofobia - a aversão ao pobre
243,O Caso Marcius Melhem
244,"Crimes Cometidos por Forças de Segurança - Polícia: ""Heróis""? (Violência Policial)"
245,Dificuldades do passado - Facilidades do presente (Jovens da nova geração)
246,Racismo
247,"Golpes, scams, etc"
248,Crimes cotidianos - Notícias do dia-a-dia na bandidagem
249,Problemas demográficos / populacionais
250,"Imigração, refugiados, etc."
251,"Censura do Politicamente Correto - Batalha de estátuas, apagar a história"
252,Drogas: libera geral?
253,"""Doutrinação Esquerdista"" (Universidades)"
254,Ambientes de esquerda e de direita
255,O que é a moral?
256,Homofobia
257,"Protestos, manifestações, vandalismo, antifas, Blacks live matter, etc"
258,Os cenários para a extinção da humanidade
259,Arrependimento e Perdão
260,Ancestralidade genética do povo brasileiro
261,O que significa metafísica?
262,Aborto: sim ou não
263,Memória afetiva: Passado amenizado ou idealizado
264,Porte e posse de armas: prós e contras
265,Teria sido melhor se os europeus não tivessem colonizado...
266,Pais e filhos - educação.
267,Índice de felicidade
268,Meritocracia
269,O nada existe?
270,Hábito de leitura da população
271,Sistema de medidas
272,Povos indígenas das Américas
273,A automação causará desemprego. Qual é a solução?
274,O dilema do bonde - Podemos sacrificar uma pessoa para salvar várias?
275,A ética do uso de embriões humanos como cobaia (edição genética)
276,Eugenia
277,Por que algumas das pessoas mais inteligentes podem ser tão estúpidas
278,Denúncias e Engajamento das Tias do Zapzap
279,Pobre de direita e rico de esquerda
280,"A religião é uma mentira, mas a sociedade é pior sem religião"
281,Holodomor
282,Quer ser corrupto? Vá para a universidade pública
283,Ateu Conservador
284,Quem são os influencers de esquerda que levam o marxismo para as redes sociais
285,Cultura industrial de massa
286,Guerra e conflitos militares
287,A situação da cultura pop
288,Conflitos Árabes-Judeus
289,A polícia persegue os negros? É racista? Mentira!
290,O que explicaria a intuição de Ramanujan?
291,Ditadura Militar de 1964
292,Lembranças de tempos relativamente recentes
293,Vai haver a 3ª Guerra Mundial?
294,Comunidade
295,Como incentivar o Pensamento Científico?
296,Ascensão e queda do Brasil
297,Positividade tóxica
298,Organismos Supranacionais
299,Rankings e estatísticas humanas
300,Olavo de Carvalho
301,Será que a humanidade está mesmo preparada para um encontro com extraterrestres inteligentes?
302,História da economia
303,"""Tem que sair matando!"" e outras soluções para a violência"
304,Nazista morto deixou vídeo
305,"Paulo Freire, Patrono da Educação Brasileira"
306,"Como você define o ""Brasileiro Médio""?"
307,Brasil paralelo
308,Sleep giants: Ditadura privada de boicote ou liberdade de expressão?
309,Cultura do cancelamento: O feitiço que vira contra o feiticeiro
310,O que é Beleza Exótica de fato?
311,"Intolerância política: Se não está do meu lado, está do lado do meu inimigo"
312,Escravidão moderna
313,Igualdade realmente importa?
314,Cult x Erudito
315,Fisionomia dos imperadores romanos
316,Emigração
317,Neoconservadorismo
318,Dominação cultural e destruição de culturas
319,O superdotado é um deficiente?
320,Por que as pessoas mentem?
321,Pena de morte: Sim? Não? Depende?
322,Wikipedia: Inexatidão de informações oficiais
323,Historiador especialista em Napoleão Bonaparte condenado por esquartejar a mulher
324,Canais de História
325,Intelectuais de esquerda
326,Coping
327,Direito de crer no que quiser
328,Como Formamos Nossa Opinião
329,Fascismo à brasileira - o integralismo no Brasil
330,Eventos explosivos
331,"Novilíngua - Evolução da linguagem, gírias, novos significados"
332,Erros sobre História
333,Transição. Como você fez a sua?
334,Cooperativismo
335,O mundo após o coronavírus
336,"Diferenças entre grupos étnicos humanos (""raças"")"
337,Redução da maioridade penal
338,Trump vs Sanders
339,Venezuela
340,Dossiê Jair Bolsonaro: seus crimes e desonestidades
341,Governo Lula - Alckmin
342,Viagens de Lula no seu 3º governo
343,Liberalismo e Anarcocapitalismo
344,Plutocracia e sistema de democracia ocidental
345,Proposta de desenvolvimentismo brasileiro
346,Bolsa de valores
347,Estados Unidos da América
348,Leis trabalhistas
349,República de Cuba
350,Privilégios/mordomias do serviço público e falta de ética de autoridades
351,Socialismo e Comunismo
352,Reinaldo Azevedo: petista acidental
353,Proposta de divisão de municípios
354,As Bobagens de Mario Sergio Cortella
355,Assuntos relacionados à Lava Jato
356,República Popular da China - A China vai dominar o mundo?
357,"Imposto, taxa, tributos, etc"
358,Liberdade de expressão
359,"O subemprego do Uber e do iFood é um problema, mas não é culpa do ""capitalismo"""
360,Política + Religião = Justificativa pra picaretas
361,Dependência econômica global
362,"Direita, esquerda e centro"
363,Privatizações
364,Bitcoin e outras criptomoedas
365,Separatismo no Brasil
366,"Totalitarismo: Fascismo, Nazismo e Socialismo"
367,Coréia do Norte
368,Caso Gabriel Monteiro: sempre desconfie de um idealista que lucra com seus ideais
369,Estado de Israel
370,Islã; Terrorismo islâmico; Censura a charges
371,Lula
372,Fake News da Esquerda nunca desmentidas.
373,Validade (obsolescência) programada
374,"Problemas habitacionais: Política sobre crise e especulação imobiliária, etc"
375,Ministérios
376,Vertente da militância “liberal” e “conservadora” que virou “bolsominion” ou coisa assemelhada
377,Por que estamos empobrecendo? (2019)
378,Questão dos combustíveis
379,Japão
380,Liberais Brasileiros
381,Ecologia x Economia
382,"Questões de saúde - Sistemas, planos, políticas públicas"
383,Corrupção
384,"Patente: Quebrar, manter, ou depende da situação?"
385,Favelas
386,"Tá tudo errado! Aristocracia brasileira, ideologias, etc..."
387,Monarquia
388,Governo Trump
389,"Conflitos territoriais - enclaves, exclaves, etc."
390,República Argentina
391,Milícias no Brasil
392,Mudanças necessárias no sistema carcerário brasileiro
393,Capitalismo
394,Uso político da pandemia
395,Credibilidade da mídia
396,CPI do 8/01
397,"Tele-trabalho, Trabalho remoto"
398,Jornalismo criptobolsonarista desnudado
399,"Falências e golpes: Bancos, empresas, etc."
400,Militantes de esquerda tendem a ser mais intelectuais do que os militantes de direita?
401,Monopólio X concorrência
402,"Sérgio Moro - prós, contras e cenários"
403,Neuroeconomia
404,"Secessão, separatismo, federalismo, etc"
405,Brasil do norte e Brasil do Sul? Tenho uma alternativa melhor.
406,Liberdade política e privacidade na internet
407,Salário mínimo
408,Governo Bolsonaro
409,República do Chile
410,Não vai ter golpe!.... ou vai?
411,Dados do FMI e IBGE: Brasil no governo Bolsonaro cresceu economicamente menos do que na era FHC e era PT
412,Propriedade Privada
413,Regime Militar
414,"Assistencialismo; Bolsa-família, auxílios emergenciais, etc"
415,Presidência do Senado / Congresso Nacional
416,Urnas eletrônicas e formas de auditoria das eleições 2022
417,Eleições no Brasil em 2022
418,"Vigilância de meios de comunicação, redes sociais, etc"
419,Governo Biden
420,Futuro do Brasil
421,Falências e outros efeitos em empresas devido ao lockdown
422,"Multidões, popularidade, carisma e magnetismo pessoal"
423,Pesquisas eleitorais
424,Economia agrícola
425,Como Seria uma Ditadura com Bolsonaro de Ditador?
426,Meu período extremista
427,Armas
428,Polícia Bandida e o Clã Bolsonaro
429,Paulo Guedes: charlatão e bolsogado submisso
430,Enquete eleições 2022 para presidente
431,Escola Sem Partido - ESP
432,Ciro Gomes
433,"Terceira via: Esquerda do Trabalho, Direita dos Valores!"
434,"Moedas: (Des)Valorizações, etc."
435,"Bolsonaro ""LIBERAL"""
436,Socialismo em Marte?
437,Ligação do PT com o PCC - Delação de Marcos Valério - Celso Daniel
438,Atuais questões antigas
439,"Lei Rouanet, verbas públicas pra artistas, etc"
440,Melhorando o sistema político
441,Distributismo
442,ONGs
443,Risco em não haver eleições!
444,Operações anti-corrupção
445,Cassinos no Brasil
446,Quarta teoria política
447,Bulgária
448,Cotas Raciais
449,Datafolha: 44% dos brasileiros acreditam que o Brasil pode virar comunista em 2022
450,Desenvolvimento e Modernização: Até onde vai a correlação?
451,"Representatividade: Étnica, gênero, etc"
452,Criminalização do marxismo no Brasil
453,Reformas Liberais e Estruturais - CINGAPURA X BRASIL
454,Países em ascensão
455,Se der PT X Bolsonaro em 2022
456,Enem 2021: tema da redação é 'invisibilidade e registro civil: garantia de acesso à cidadania no Brasil'
457,Canal: ateuinforma
458,Semipresidencialismo no Brasil?
459,Novo cangaço
460,Terceira Via
461,Dicotomia / binarismo
462,"Ele mente, nós desmentimos."
463,Por que o Centro não tem adesão?
464,Previsões
465,Proibição de vestimentas islâmicas em países não-islâmicos
466,Prisão do Bispo Crivella da Universal
467,Eleições 2020
468,Perfil Político do CC
469,Uma legião de usuários do Reddit faz fundos de Wall Street perderem bilhões
470,Placar do Impeachment de Jair Bolsonaro
471,quem mora em SP
472,"Uniões transnacionais: UE, OTAN, etc."
473,"Cyber-terrorismo: Hackers, anonymous, etc."
474,Teste dos 8 Valores
475,Sementes chinesas
476,Antifascismo
477,Bielorrússia - Última ditadura européia?
478,Arábia Saudita
479,Hong Kong
480,Politização de movimentos sociais
481,PRA QUEM VOTOU NO BOLSONARO
482,Novo canal de notícias - CNN Brasil
483,Trump vs Biden
484,Ciro Gomes = Bolsonaro de (centro)-esquerda? No Roda Viva
485,Evolução e dispersão dos HOMINÍDEOS
486,Teoria da evolução
487,"Cosmologia: Argumento cosmológico, Criacionismo, etc"
488,Materialismo
489,Argumento da Simulação
490,Hipótese de cruzamento entre hominídeos em diferentes continentes
491,Mania Antrópica - A Vida Sempre Será Tal Como Se Deus Existisse
492,Cientistas apresentam ADN mais antigo do mundo
493,O Sofrimento na Natureza
494,Blob (Physarum polycephalum): Ser misterioso com 720 sexos e sem cérebro
495,Reflexões antimaterialistas
496,Neandertais fizeram duas migrações para a Sibéria.
497,Exobiologia
498,"Religiões - Escândalos, Crises e Decepções"
499,História da Bíblia - Como foi escrita
500,Cultos e fanatismo
501,"Sincretismo entre cristianismo, islamismo e judaísmo"
502,"""Polêmico"" - Jesus efetivamente existiu?"
503,Carma - A lei espiritual da ação e reação
504,"Influência/proselitismo de religiões ou religiosos (tentativa de proselitismo, apelo emocional, chantagens etc)."
505,Jesus morreu para nos salvar
506,Criacionismo / Design Inteligente
507,"Os papas, de Pedro até hoje"
508,Identidade pessoal e reencarnação
509,(Jesus não voltará) Mateus 16: 28
510,Teologia da prosperidade
511,Previsões e profecias
512,"Judeus, do politeísmo ao monoteísmo"
513,Amish
514,Espiritismo -Temas genéricos
515,"""Coincidências"" ou empréstimos míticos e religiosos"
516,Sensações de vidas passadas
517,A Crença na vida após a morte
518,Religião e Racismo
519,O que é Deus?
520,Demolindo o dogma da Santíssima Trindade
521,Quatro mulheres na minha vida marcada pelo número quatro
522,... de onde viria o Inteligent Design...?
523,Curiosidades religiosas ou filosóficas
524,Coisas que um padreco ou pastor jamais contarão aos seus fieis
525,Movimento Modernista - quando a ICAR deu um tiro no pé
526,Pergunte a um Místico
527,O Jesus historico vs o Jesus do mito
528,Crianças morrem de fome graças a Deus
529,O Inferno existe?
530,Teocracia - Crentes vão se tornar maioria no Brasil
531,Notícias ruins atestam a falta de consideração de um possível Deus?
532,"Frases, fatos, situações ridículas dos crentes"
533,Espiritismo brasileiro é um catolicismo que acredita na reencarnação. Conflito entre espíritas.
534,Práticas Religiosas
535,Pergunte a um Rosacruz
536,Cristianismo crítico
537,Interpretações e visões diferentes de passagens da Bíblia e outras religiões
538,5 mandamentos maquiavelicos para a criação de qualquer religiao com potencial para dominar o mundo
539,Como Deus é maravilhoso!
540,"Deus (cristão) nunca tem nem teve culpa de nada nas crueldades...(históricas, bíblicas, pragas, vírus, doenças, etc etc."
541,A maldição de Canaã
542,O que os líderes religiosos fariam se os extraterrestres aparececem?
543,O que achamos do Natal
544,Manifestações exageradas em ritos e cultos religiosos
545,Besteiras e absurdos em livros espíritas (pelo menos é o que parece...)
546,O que te fez abandonar a religião X?
547,"Parabola das dez virgens, contada por Jesus - foi mesmo uma ""festa com convidados"" ?!"
548,Criso: cai a máscara!
549,Espiritismo -crença mundial segundo Kardec e seus espíritos
550,Revelação
551,"O que a ciência diz sobre Moisés, as dez pragas, o êxodo e a travessia do Mar Vermelho"
552,Jesus histórico ou divino??
553,Rosacruzes
554,Palestra: A sabedoria taoísta de Liezi e a cosmovisão alquímica de Jacob Boehme
555,R.R. Soares Internado em Estado Grave
556,"""Visão Espírita do Bem, do Mal e da Moralidade"""
557,A Bíblia permite (e manda) matar
558,Exorcismo - modo de usar
559,A Bíblia permite a poligamia
560,Sacrifícios humanos na Bíblia
561,Vote no Hugo
562,Eventos religiosos de maior destaque
563,Europa ocidental: cresce número de “não religiosos”
564,A vida oculta de Jesus
565,"O ""pecado"" das Testemunhas de Jeová!"
566,Porque deus se arrependeu de criar o homem
567,Como foi definido o cânon da Bíblia
568,Pergunta que nenhuma religião sabe responder.
569,Como e quem mudou o famoso “Réveillon”
570,Carnaval x Quaresma
571,Como surgiu a história do Dilúvio?
572,A historia real por tras do exodo
573,javé deus que nasceu em midian???
574,bruxaria popular
575,Sexo e as perguntas que as religiões não sabem explicar
576,O espiritismo desmascarrado por...espíritas
577,"Judas, traidor ou amigo"
578,Fraudes espirituais e fake news
579,Jesus era mesmo tão bonzinho quanto dizem?
580,Contradições bíblicas.
581,"palestra sobre o Martinismo, Saint-Martin, Jacob Boehme etc."
582,"Estudo da Evolução da vida, no Espiritismo."
583,Mensagens de religiões/religiosos e a COVID19/NOVO CORONAVIRUS
584,Jacob Boehme
585,"Bíblia - depois de editada e reeditada, qual versão é verdadeira?"
586,Onde está o texto original da Bíblia ?
587,Ciência e Espiritualidade
588,Plano mundial comunista contra cristianismo e liberdade individual
589,Conspiracionismo político
590,"Globalismo anticristão / 666: Papa, internet, Vale do silício, etc."
591,Georges Soros: Financiador da esquerda global
592,Terra Plana - Tópico de refutações
593,Factcheck e catálogos de sites com conteúdos conspiracionistas
594,A Internet e as Teorias da Conspiração
595,Fósseis de gigantes
596,Conspiracionismo sobre Fraudes eleitorais
597,Fraude eleitoral eletrônica
598,World Map: Vibe of Cosmos
599,Conspiração Coronavirus
600,Protocolos dos Sábios de Sião 2.0
601,Project Blue Beam | The Fake Alien Invasion
602,Kookmobiles
603,Profecias do Arcanjo Lúcifer
604,Q-Anon
605,O Grande Reset (O Grande Reinício)
606,Queima de arquivo ou assassinato em série de libertários e simpatizantes ilustres
607,MK Ultra: CIA mind control program in Canada (1980)
608,microwave attacks
609,Cicada 3301 - Mistério na Internet
610,11B-X-1371
611,"Bill Gates investe em projeto para ""escurecer"" o Sol contra o aquecimento global"
612,Fim do mundo
613,Antivacinação
614,Conspiritualidade
615,O caráter intelectual dos teóricos da conspiração
616,O que diferencia impeachment de golpe?
617,Conspirações Geográficas Terrenas e Extraterrenas
618,Pentágono divulga vídeos de OVNIs
619,Caso Jeffrey Epstein
620,O Experimento Philadelphia
621,Torres Gêmeas - WTC
622,Vespas Asiáticas Gigantes
623,Tópico da paranóia viral. Cenários apocalípticos
624,Os Melhores vídeos da Internet
625,Alguém aí já perdeu celular?
626,"Jogos (ou Games) PC, Console, Smart: Alguém?"
627,Mapas alternativos e fictícios.
628,Citações
629,Links Interessantes
630,Imagens Políticas e Sociais
631,Conversa sobre Linux
632,"Imagens de Ceticismo, Ateísmo e Religiosidade"
633,Isso passou na minha TV...
634,Discutindo o significado de palavras
635,Top 6 assuntos para filosofar em mesa de buteco
636,Detesto dar carona
637,Vídeos engraçados
638,Notas aleatórias rápidas - Tópico Curinga
639,O que você aprendeu hoje?
640,Indicações de Newsletters e Podcasts?
641,Carne Humana
642,Que fontes de notícias você recomenda
643,Tópico de Crackpots
644,Tópico Para Lamentar a Burrice Humana
645,Sonhando com aspectos de sua personalidade
646,pesquisa eleitoral 2022
647,"Desbrasil, uma distopia brasileira"
648,Problemas de Computador
649,Necrologia - Obituário
650,Feliz ano novo
651,Feliz Newtal a todos
652,"Humor na esquerda, ninguém sabe ninguém viu"
653,Projeto Magnus (ficção científica)
654,Apresentação e Boas-Vindas
655,Investimentos
656,pour pratiquer la langue française
657,"As estantes e as ""láives"""
658,2º turno 2022 p/ ClubeCético
659,Fotos bizarras
660,Imagens e Pérolas do Bozo
661,Objetos que foram muito comuns durante nossa existência e desapareceram da face da Terra
662,"Modelismo (Revell, Plastimodelismo, Aeromodelismo, etc)"
663,Dúvidas sobre IR
664,Numerando Imagens
665,Fatalidades incomuns
666,Belezas do planeta.
667,Fotos & Vídeos Históricos
668,Papo místico
669,Futebol 2020
670,Zueiras puras e simples
671,Piadas....
672,*Músicas que parecem cantadas em português
673,Vacinei
674,"Ceticismo extremo: Mafagafo, a busca da verdade"
675,Geografia brasileira
676,Sugestões de novo avatar para o Arcanjo Lúcifer
677,Realidade ateu x religioso
678,"Católico conservador macho alfa mostrando quem ""manda"" na casa"
679,Lei de Murphy não é brincadeira
680,The Chaos by Gerard Nolst Trenité
681,Filmes ou séries para assistir ou evitar
682,Recomendação de Leituras
683,O que você está ouvindo agora?
684,Copa do Mundo 2022
685,"Teremin, instrumento musical que dispensa contato físico"
686,Esportes Novos
687,XADREZ --Novidades e acontecimentos da nobre arte -- XADREZ
688,Música sem fronteiras
689,minhas palestras
690,"trechos, poesia, letras de músicas etc."
691,"Casos de Plágio, Inspirações e Referências nas Artes"
692,Músicas - Disputas pelos direitos de obras
693,Obras de Arte
694,"Blues, Blues-Rock & Jazz"
695,"Música Clássica, Ópera e Música para Cinema"
696,Redes sociais alternativas
697,Twitter - tweets divertidos
698,Modelo
699,Razões para deletar suas redes sociais
700,live/reunião
701,JSTOR
