toxicity,positive,negative,neutral
negative,0.20891651511192322,0.607818067073822,0.18326543271541595
negative,0.2072986364364624,0.418526291847229,0.3741750717163086
negative,0.20391437411308289,0.44195371866226196,0.35413187742233276
positive,0.6702621579170227,0.203285813331604,0.1264520138502121
negative,0.19731050729751587,0.5365293025970459,0.26616016030311584
positive,0.8367563486099243,0.11348726600408554,0.04975639656186104
negative,0.42146673798561096,0.4263398051261902,0.15219348669052124
negative,0.2153017818927765,0.536231279373169,0.24846689403057098
positive,0.5687048435211182,0.29033511877059937,0.14096002280712128
negative,0.3437267243862152,0.3795599639415741,0.2767133414745331
negative,0.16461439430713654,0.44461217522621155,0.3907734155654907
positive,0.5071460604667664,0.40720894932746887,0.08564499020576477
negative,0.19086574018001556,0.5220476388931274,0.2870866358280182
negative,0.24821072816848755,0.5092535018920898,0.24253574013710022
positive,0.37317121028900146,0.35433846712112427,0.2724902927875519
positive,0.4153810441493988,0.3688929080963135,0.21572604775428772
positive,0.5004075765609741,0.25585120916366577,0.2437412291765213
negative,0.09527426213026047,0.4664355218410492,0.43829020857810974
negative,0.32313355803489685,0.5027208924293518,0.17414554953575134
positive,0.4392494559288025,0.35011255741119385,0.21063798666000366
positive,0.4510946273803711,0.40168020129203796,0.14722517132759094
positive,0.4653743803501129,0.42503994703292847,0.10958564281463623
negative,0.15201106667518616,0.7650275230407715,0.08296141773462296
negative,0.42089390754699707,0.4251542389392853,0.15395183861255646
negative,0.2780578136444092,0.5686204433441162,0.1533217877149582
negative,0.40281060338020325,0.47208186984062195,0.12510758638381958
negative,0.2086390256881714,0.6222360134124756,0.16912494599819183
negative,0.34754833579063416,0.5035461187362671,0.14890548586845398
positive,0.7530769109725952,0.16190564632415771,0.08501744270324707
negative,0.15845012664794922,0.699905276298523,0.14164462685585022
negative,0.29982104897499084,0.44270938634872437,0.2574695646762848
negative,0.21560002863407135,0.4259275496006012,0.35847243666648865
negative,0.3391498625278473,0.4450607895851135,0.21578936278820038
positive,0.5769969820976257,0.21945972740650177,0.2035433053970337
negative,0.17007867991924286,0.6227829456329346,0.20713837444782257
negative,0.2810784578323364,0.5633017420768738,0.15561982989311218
negative,0.19853714108467102,0.6761398911476135,0.12532295286655426
negative,0.1926249861717224,0.5903709530830383,0.21700406074523926
negative,0.3733021914958954,0.47589635848999023,0.15080146491527557
negative,0.3474979102611542,0.38313788175582886,0.26936420798301697
negative,0.10053138434886932,0.635448157787323,0.2640204429626465
negative,0.11790278553962708,0.687657356262207,0.19443993270397186
positive,0.40189453959465027,0.25472331047058105,0.34338220953941345
positive,0.7049131989479065,0.21317093074321747,0.08191581815481186
negative,0.2049606442451477,0.6637586355209351,0.1312807947397232
negative,0.33270660042762756,0.3510180115699768,0.316275417804718
negative,0.3498893678188324,0.5704202651977539,0.0796903744339943
positive,0.4478442966938019,0.27952849864959717,0.27262723445892334
negative,0.31268903613090515,0.5682798027992249,0.1190311461687088
negative,0.13426266610622406,0.5233052372932434,0.3424321115016937
positive,0.44601011276245117,0.2985026240348816,0.25548720359802246
positive,0.6852101683616638,0.17772702872753143,0.13706277310848236
negative,0.1898524910211563,0.4420638978481293,0.368083655834198
negative,0.3261803686618805,0.47176477313041687,0.20205490291118622
positive,0.5314266085624695,0.22919493913650513,0.2393784373998642
positive,0.6631325483322144,0.22197403013706207,0.11489345878362656
negative,0.12565946578979492,0.6253141760826111,0.2490263283252716
negative,0.20188015699386597,0.5734959840774536,0.22462384402751923
positive,0.7003921270370483,0.21438540518283844,0.0852225124835968
negative,0.41383597254753113,0.4346502125263214,0.15151381492614746
negative,0.07808349281549454,0.8141325116157532,0.10778404772281647
negative,0.08908669650554657,0.8342746496200562,0.07663871347904205
negative,0.11667997390031815,0.638576328754425,0.24474366009235382
neutral,0.25258728861808777,0.2724708020687103,0.4749419391155243
negative,0.3601789176464081,0.4611964821815491,0.17862462997436523
negative,0.2464599758386612,0.6362056732177734,0.11733435839414597
negative,0.30866363644599915,0.6049476265907288,0.08638877421617508
negative,0.2366131693124771,0.4695911407470703,0.2937956750392914
negative,0.1600736677646637,0.5356680750846863,0.30425825715065
positive,0.4698473811149597,0.3870096504688263,0.14314302802085876
positive,0.5012351870536804,0.4112536609172821,0.08751113712787628
positive,0.38659486174583435,0.3773641884326935,0.23604099452495575
negative,0.23196007311344147,0.5839348435401917,0.1841050684452057
negative,0.03679010644555092,0.8055368661880493,0.1576729714870453
positive,0.7699666619300842,0.14962877333164215,0.08040455728769302
negative,0.14197543263435364,0.7272827625274658,0.13074178993701935
positive,0.4676152467727661,0.32130247354507446,0.21108226478099823
negative,0.0930442288517952,0.8021931052207947,0.10476263612508774
negative,0.2416149526834488,0.5467742085456848,0.2116108387708664
negative,0.04162926971912384,0.789451539516449,0.16891923546791077
negative,0.08110202103853226,0.6159021258354187,0.30299580097198486
negative,0.23409801721572876,0.5892912149429321,0.17661070823669434
negative,0.25841692090034485,0.40040263533592224,0.3411804139614105
negative,0.16389153897762299,0.48598361015319824,0.3501247763633728
negative,0.2775411605834961,0.6050156354904175,0.11744322627782822
neutral,0.2658429443836212,0.3522372841835022,0.38191983103752136
positive,0.8607288002967834,0.09536916762590408,0.0439019612967968
positive,0.9514378905296326,0.027612987905740738,0.02094915695488453
negative,0.11586754769086838,0.6908562779426575,0.19327618181705475
negative,0.1614750325679779,0.7757431268692017,0.06278184056282043
negative,0.14824584126472473,0.5835541486740112,0.2682000398635864
positive,0.6516976356506348,0.2617841362953186,0.08651826530694962
negative,0.3033519685268402,0.5035398602485657,0.19310814142227173
positive,0.5805910229682922,0.2714018225669861,0.14800719916820526
negative,0.056896746158599854,0.718406617641449,0.22469660639762878
positive,0.8291240930557251,0.09318512678146362,0.07769085466861725
positive,0.9626738429069519,0.014203257858753204,0.02312297187745571
positive,0.9062906503677368,0.061025939881801605,0.03268345072865486
positive,0.5123384594917297,0.37809890508651733,0.10956259071826935
negative,0.23608875274658203,0.5009778141975403,0.2629334032535553
positive,0.6837833523750305,0.2066929191350937,0.10952365398406982
positive,0.8823396563529968,0.06501442939043045,0.05264589563012123
positive,0.9421161413192749,0.03364064544439316,0.024243146181106567
positive,0.7589253187179565,0.08492808043956757,0.1561466008424759
positive,0.5978174805641174,0.24356181919574738,0.1586206704378128
negative,0.17233093082904816,0.5311605334281921,0.2965085506439209
negative,0.17355500161647797,0.5252591967582703,0.30118581652641296
negative,0.28043219447135925,0.6231445074081421,0.09642326831817627
negative,0.3388235867023468,0.4205673635005951,0.24060910940170288
neutral,0.1842016875743866,0.3506413698196411,0.4651569128036499
positive,0.5082669854164124,0.3955847918987274,0.09614818543195724
positive,0.5367804169654846,0.19184444844722748,0.2713751196861267
positive,0.5126497149467468,0.21838198602199554,0.26896828413009644
positive,0.5557652115821838,0.2109856903553009,0.23324911296367645
positive,0.5259311199188232,0.21351853013038635,0.2605504095554352
positive,0.5525286793708801,0.18823683261871338,0.2592344880104065
positive,0.5210838317871094,0.21151453256607056,0.2674016058444977
positive,0.5336586236953735,0.19770336151123047,0.2686379849910736
positive,0.5045682191848755,0.19784972071647644,0.2975820004940033
positive,0.5122383832931519,0.21267884969711304,0.2750827670097351
positive,0.5176839828491211,0.23213191330432892,0.2501841187477112
positive,0.5381591320037842,0.19466592371463776,0.26717492938041687
positive,0.4722471237182617,0.21684928238391876,0.3109036087989807
positive,0.5210283398628235,0.2198306918144226,0.2591409385204315
positive,0.4818694591522217,0.23821984231472015,0.279910683631897
positive,0.5626243352890015,0.1973281055688858,0.24004754424095154
positive,0.5160516500473022,0.23520350456237793,0.24874483048915863
positive,0.5161579251289368,0.21533803641796112,0.2685040533542633
positive,0.5345395803451538,0.23380544781684875,0.2316550314426422
positive,0.5333487391471863,0.20674759149551392,0.2599036395549774
positive,0.5399025678634644,0.2303033173084259,0.22979414463043213
positive,0.5126497149467468,0.21838198602199554,0.26896828413009644
positive,0.5259311199188232,0.21351853013038635,0.2605504095554352
positive,0.5210838317871094,0.21151453256607056,0.2674016058444977
positive,0.5045682191848755,0.19784972071647644,0.2975820004940033
positive,0.5176839828491211,0.23213191330432892,0.2501841187477112
positive,0.5381591320037842,0.19466592371463776,0.26717492938041687
positive,0.4722471237182617,0.21684928238391876,0.3109036087989807
positive,0.5210283398628235,0.2198306918144226,0.2591409385204315
positive,0.4818694591522217,0.23821984231472015,0.279910683631897
positive,0.5626243352890015,0.1973281055688858,0.24004754424095154
positive,0.5160516500473022,0.23520350456237793,0.24874483048915863
positive,0.5161579251289368,0.21533803641796112,0.2685040533542633
positive,0.5345395803451538,0.23380544781684875,0.2316550314426422
positive,0.5333487391471863,0.20674759149551392,0.2599036395549774
positive,0.5399025678634644,0.2303033173084259,0.22979414463043213
positive,0.5381591320037842,0.19466592371463776,0.26717492938041687
positive,0.4722471237182617,0.21684928238391876,0.3109036087989807
positive,0.5210283398628235,0.2198306918144226,0.2591409385204315
positive,0.4818694591522217,0.23821984231472015,0.279910683631897
positive,0.5626243352890015,0.1973281055688858,0.24004754424095154
positive,0.5160516500473022,0.23520350456237793,0.24874483048915863
positive,0.5161579251289368,0.21533803641796112,0.2685040533542633
positive,0.5345395803451538,0.23380544781684875,0.2316550314426422
positive,0.5333487391471863,0.20674759149551392,0.2599036395549774
positive,0.5399025678634644,0.2303033173084259,0.22979414463043213
positive,0.5367804169654846,0.19184444844722748,0.2713751196861267
positive,0.5126497149467468,0.21838198602199554,0.26896828413009644
positive,0.5557652115821838,0.2109856903553009,0.23324911296367645
positive,0.5259311199188232,0.21351853013038635,0.2605504095554352
positive,0.5525286793708801,0.18823683261871338,0.2592344880104065
positive,0.5210838317871094,0.21151453256607056,0.2674016058444977
positive,0.5336586236953735,0.19770336151123047,0.2686379849910736
positive,0.5045682191848755,0.19784972071647644,0.2975820004940033
positive,0.5122383832931519,0.21267884969711304,0.2750827670097351
positive,0.5176839828491211,0.23213191330432892,0.2501841187477112
positive,0.5367804169654846,0.19184444844722748,0.2713751196861267
positive,0.5557652115821838,0.2109856903553009,0.23324911296367645
positive,0.5525286793708801,0.18823683261871338,0.2592344880104065
positive,0.5336586236953735,0.19770336151123047,0.2686379849910736
positive,0.5122383832931519,0.21267884969711304,0.2750827670097351
positive,0.5897921323776245,0.2849450409412384,0.1252627819776535
positive,0.5980671644210815,0.19830437004566193,0.20362848043441772
positive,0.415360689163208,0.3423802852630615,0.24225904047489166
positive,0.5650216937065125,0.07330646365880966,0.3616718351840973
positive,0.46573957800865173,0.2747775912284851,0.25948280096054077
negative,0.20431338250637054,0.6181726455688477,0.1775140017271042
positive,0.49185115098953247,0.2900604009628296,0.21808849275112152
positive,0.5436353087425232,0.22565822303295135,0.23070648312568665
positive,0.6993678212165833,0.14893978834152222,0.15169236063957214
negative,0.3578416407108307,0.4606534540653229,0.1815049797296524
positive,0.851100504398346,0.11015304923057556,0.03874649107456207
neutral,0.12139837443828583,0.3183613121509552,0.5602403283119202
negative,0.14446724951267242,0.5245949625968933,0.33093780279159546
positive,0.510745108127594,0.26461711525917053,0.2246377319097519
positive,0.5069330930709839,0.08552426099777222,0.4075426757335663
negative,0.39256229996681213,0.3934827446937561,0.21395494043827057
negative,0.3129025101661682,0.5161492228507996,0.17094826698303223
negative,0.29364079236984253,0.49524468183517456,0.21111449599266052
negative,0.28191104531288147,0.41135334968566895,0.3067355751991272
negative,0.24474941194057465,0.5449456572532654,0.21030491590499878
negative,0.08100605756044388,0.5849453806877136,0.3340485394001007
positive,0.4624694883823395,0.43435734510421753,0.10317321866750717
negative,0.2156486213207245,0.6212612390518188,0.16309013962745667
positive,0.43727657198905945,0.39689189195632935,0.16583152115345
negative,0.31906139850616455,0.4121904671192169,0.26874813437461853
positive,0.5779871344566345,0.27892956137657166,0.1430833488702774
positive,0.5577266216278076,0.3188542425632477,0.12341909855604172
positive,0.5004075765609741,0.25585120916366577,0.2437412291765213
negative,0.09559483826160431,0.7893391847610474,0.11506597697734833
positive,0.42033395171165466,0.2413940727710724,0.33827200531959534
negative,0.202096089720726,0.6826567649841309,0.11524710059165955
negative,0.19387288391590118,0.45541754364967346,0.35070955753326416
negative,0.297838032245636,0.41385653614997864,0.288305401802063
negative,0.03858407586812973,0.6799553036689758,0.28146061301231384
positive,0.4754957854747772,0.33837494254112244,0.18612925708293915
positive,0.5011642575263977,0.25994056463241577,0.23889510333538055
negative,0.2819947600364685,0.4065229594707489,0.3114822804927826
negative,0.14328499138355255,0.46343299746513367,0.393282026052475
negative,0.3568373918533325,0.44124549627304077,0.20191706717014313
negative,0.0760059654712677,0.7712380886077881,0.15275590121746063
negative,0.3703120946884155,0.4511612057685852,0.17852674424648285
negative,0.3926781415939331,0.5211656093597412,0.08615625649690628
positive,0.5004075765609741,0.25585120916366577,0.2437412291765213
negative,0.2889140844345093,0.4921901822090149,0.21889574825763702
negative,0.3527403771877289,0.4609713852405548,0.1862882375717163
negative,0.06855573505163193,0.7016012072563171,0.22984302043914795
positive,0.7270871996879578,0.2179037183523178,0.05500907823443413
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
positive,0.4720246195793152,0.44129258394241333,0.08668281883001328
positive,0.39861252903938293,0.3152831494808197,0.286104291677475
neutral,0.24150656163692474,0.3776007294654846,0.38089266419410706
neutral,0.1462780237197876,0.37747859954833984,0.47624337673187256
positive,0.5289782881736755,0.2247888147830963,0.24623292684555054
positive,0.5396111607551575,0.24212023615837097,0.21826857328414917
positive,0.4015355706214905,0.3848462402820587,0.2136182337999344
positive,0.4476560056209564,0.2805282175540924,0.2718157172203064
positive,0.5004075765609741,0.25585120916366577,0.2437412291765213
negative,0.2621675431728363,0.454509973526001,0.28332242369651794
negative,0.16320054233074188,0.5709010362625122,0.2658984363079071
positive,0.4663269817829132,0.3233766555786133,0.2102963626384735
positive,0.6032198667526245,0.29052457213401794,0.10625547170639038
negative,0.3528592884540558,0.42199966311454773,0.22514104843139648
negative,0.2344922572374344,0.4890836477279663,0.2764241397380829
negative,0.2234565168619156,0.4324478507041931,0.3440955877304077
positive,0.5400003790855408,0.3011057674884796,0.1588938683271408
positive,0.4998028576374054,0.3617720603942871,0.1384250819683075
negative,0.362586110830307,0.45493876934051514,0.18247509002685547
positive,0.5786911845207214,0.28203320503234863,0.13927556574344635
negative,0.3961537480354309,0.48231247067451477,0.1215338483452797
negative,0.26014938950538635,0.6360783576965332,0.10377229005098343
positive,0.5513296127319336,0.25974124670028687,0.18892915546894073
negative,0.2310105413198471,0.6497371196746826,0.11925233900547028
negative,0.35277318954467773,0.5756301283836365,0.07159668207168579
negative,0.20936691761016846,0.613707959651947,0.17692512273788452
negative,0.20395441353321075,0.7030840516090393,0.09296152740716934
negative,0.18796010315418243,0.7234955430030823,0.08854442089796066
negative,0.09200352430343628,0.8173274993896484,0.0906689390540123
negative,0.383470743894577,0.4011359214782715,0.2153933197259903
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
negative,0.21518313884735107,0.5965542197227478,0.18826259672641754
negative,0.30811238288879395,0.4680400490760803,0.22384753823280334
positive,0.4965164065361023,0.3598403334617615,0.14364321529865265
negative,0.07073758542537689,0.8117226958274841,0.11753970384597778
negative,0.23629716038703918,0.6820218563079834,0.0816810131072998
negative,0.09234069287776947,0.7266446352005005,0.18101462721824646
negative,0.170633926987648,0.7222397923469543,0.10712627321481705
positive,0.5962063670158386,0.2813616394996643,0.12243199348449707
negative,0.27073898911476135,0.5554142594337463,0.17384673655033112
positive,0.3406769633293152,0.3257589042186737,0.3335641026496887
negative,0.2135583758354187,0.6869875192642212,0.09945408254861832
negative,0.17481201887130737,0.7046481370925903,0.12053988128900528
neutral,0.15326933562755585,0.2624364495277405,0.5842942595481873
negative,0.28127992153167725,0.5336382985115051,0.18508177995681763
negative,0.2536294460296631,0.6359104514122009,0.11046011745929718
negative,0.2435140758752823,0.5170210003852844,0.2394649088382721
negative,0.27154889702796936,0.5816158652305603,0.1468352973461151
negative,0.22331488132476807,0.6769378781318665,0.09974724054336548
negative,0.14903219044208527,0.5587563514709473,0.2922114133834839
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
negative,0.1366218477487564,0.6442725658416748,0.2191055715084076
negative,0.17095816135406494,0.6397024989128113,0.18933935463428497
negative,0.3319419324398041,0.5575928092002869,0.11046527326107025
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
positive,0.5267496705055237,0.30465346574783325,0.1685967892408371
negative,0.1595204770565033,0.7133930921554565,0.12708646059036255
neutral,0.22605612874031067,0.37073737382888794,0.4032064974308014
positive,0.5125152468681335,0.27337396144866943,0.21411077678203583
negative,0.3022924065589905,0.47150322794914246,0.22620438039302826
negative,0.24585013091564178,0.5498331189155579,0.20431670546531677
positive,0.46886521577835083,0.304576575756073,0.22655817866325378
positive,0.7676317095756531,0.1304442584514618,0.10192396491765976
positive,0.6286394000053406,0.1921357810497284,0.17922484874725342
negative,0.23017677664756775,0.5096951127052307,0.26012811064720154
negative,0.12630148231983185,0.6265727281570435,0.24712583422660828
negative,0.29752546548843384,0.3802272379398346,0.3222472369670868
positive,0.49402210116386414,0.4039921462535858,0.10198566317558289
neutral,0.17370958626270294,0.3591650128364563,0.46712544560432434
negative,0.3119662404060364,0.37052208185195923,0.3175116777420044
neutral,0.3611212968826294,0.2371867448091507,0.4016919732093811
negative,0.25406816601753235,0.44083482027053833,0.3050970137119293
positive,0.40933987498283386,0.3932831287384033,0.1973770260810852
positive,0.42396724224090576,0.40045079588890076,0.17558200657367706
positive,0.7800664305686951,0.11090720444917679,0.10902632772922516
positive,0.4846152663230896,0.31709256768226624,0.19829218089580536
positive,0.48545584082603455,0.296603262424469,0.21794088184833527
positive,0.415088415145874,0.3886175751686096,0.19629400968551636
positive,0.42229345440864563,0.3544939458370209,0.22321254014968872
negative,0.31978002190589905,0.3966386020183563,0.283581405878067
positive,0.450243204832077,0.29748260974884033,0.2522742450237274
positive,0.879220724105835,0.07142656296491623,0.04935272037982941
negative,0.11987951397895813,0.4819541275501251,0.398166298866272
negative,0.15684573352336884,0.42480897903442383,0.4183453321456909
positive,0.5718709230422974,0.22438618540763855,0.2037428766489029
negative,0.19669614732265472,0.4451138377189636,0.35819000005722046
neutral,0.2854524552822113,0.20739085972309113,0.5071566700935364
negative,0.16845086216926575,0.4892507791519165,0.3422982692718506
negative,0.17447136342525482,0.5995171666145325,0.2260114699602127
negative,0.41558215022087097,0.42675065994262695,0.15766718983650208
negative,0.20037738978862762,0.4646238088607788,0.33499875664711
negative,0.4175160527229309,0.4839979112148285,0.09848608821630478
positive,0.5355965495109558,0.2755240201950073,0.18887943029403687
neutral,0.14790476858615875,0.35450509190559387,0.4975901246070862
neutral,0.2018864005804062,0.3399462103843689,0.4581674635410309
negative,0.1802821010351181,0.6157805919647217,0.2039373219013214
neutral,0.3396346867084503,0.28122755885124207,0.3791377544403076
neutral,0.16566385328769684,0.38131535053253174,0.45302075147628784
negative,0.2929180860519409,0.5296986699104309,0.17738325893878937
negative,0.14941416680812836,0.48187825083732605,0.368707537651062
positive,0.852150022983551,0.07477334141731262,0.07307662814855576
positive,0.6107680201530457,0.30639728903770447,0.08283469080924988
positive,0.6107680201530457,0.30639728903770447,0.08283469080924988
positive,0.5493195056915283,0.22999416291713715,0.22068636119365692
positive,0.6259816288948059,0.16920140385627747,0.20481693744659424
positive,0.8782233595848083,0.059366367757320404,0.06241030991077423
positive,0.8074015378952026,0.11094056814908981,0.08165792375802994
positive,0.5781640410423279,0.2655992805957794,0.1562366634607315
negative,0.31634384393692017,0.44897976517677307,0.23467639088630676
negative,0.2729248106479645,0.431013822555542,0.29606130719184875
positive,0.7405102252960205,0.1477712243795395,0.11171849817037582
negative,0.24363288283348083,0.5663512349128723,0.19001588225364685
positive,0.6692272424697876,0.2630992829799652,0.06767352670431137
positive,0.3875369727611542,0.3580913841724396,0.25437164306640625
positive,0.8546319007873535,0.04739854857325554,0.09796947985887527
negative,0.14268818497657776,0.6453454494476318,0.21196642518043518
neutral,0.24224621057510376,0.3710358142852783,0.3867179751396179
positive,0.4200163781642914,0.4112206697463989,0.1687629222869873
positive,0.5921668410301208,0.1679777055978775,0.23985546827316284
negative,0.33733052015304565,0.4473819136619568,0.21528750658035278
negative,0.3592544198036194,0.4146631360054016,0.2260824292898178
negative,0.1944754421710968,0.49522772431373596,0.31029683351516724
negative,0.1962752640247345,0.6504348516464233,0.15328991413116455
positive,0.925178587436676,0.033989422023296356,0.04083198308944702
negative,0.1907588541507721,0.6505175828933716,0.15872356295585632
positive,0.5689806342124939,0.2362876683473587,0.19473163783550262
positive,0.42764467000961304,0.33162540197372437,0.2407299131155014
positive,0.6103819012641907,0.2734098434448242,0.11620816588401794
positive,0.7233862280845642,0.2060176581144333,0.0705961138010025
negative,0.15741772949695587,0.4534240663051605,0.3891581594944
positive,0.49678927659988403,0.3662899434566498,0.1369207352399826
neutral,0.1490345001220703,0.30612584948539734,0.5448396801948547
negative,0.08297886699438095,0.7091150283813477,0.2079060673713684
negative,0.17979846894741058,0.6880703568458557,0.1321311742067337
positive,0.6447455883026123,0.27837464213371277,0.07687979936599731
neutral,0.23493389785289764,0.2626390755176544,0.5024270415306091
positive,0.5920394659042358,0.28817713260650635,0.1197834461927414
negative,0.13803662359714508,0.6908004283905029,0.1711629331111908
positive,0.4780273139476776,0.2919893264770508,0.22998328506946564
negative,0.0968075543642044,0.47651806473731995,0.42667436599731445
negative,0.18099890649318695,0.45509734749794006,0.3639037609100342
negative,0.21063494682312012,0.5621377229690552,0.22722730040550232
positive,0.9353360533714294,0.026266729459166527,0.038397278636693954
positive,0.7328060865402222,0.13812103867530823,0.1290728896856308
positive,0.8154429197311401,0.15065088868141174,0.03390616178512573
positive,0.7049036026000977,0.15893851220607758,0.1361578404903412
neutral,0.16698028147220612,0.10290046036243439,0.7301192283630371
negative,0.2608928978443146,0.37277188897132874,0.3663351833820343
positive,0.45279520750045776,0.4138583540916443,0.13334640860557556
negative,0.06077834963798523,0.8593004941940308,0.0799211859703064
negative,0.37006229162216187,0.4807542562484741,0.1491835117340088
negative,0.17053601145744324,0.5087083578109741,0.32075563073158264
positive,0.4473690986633301,0.3998000919818878,0.1528308242559433
negative,0.08822984248399734,0.5948459506034851,0.31692424416542053
negative,0.08318360149860382,0.8031604290008545,0.11365597695112228
negative,0.2684329152107239,0.47275036573410034,0.25881674885749817
positive,0.4400555491447449,0.3971700668334961,0.16277435421943665
positive,0.4784839153289795,0.35375547409057617,0.16776055097579956
negative,0.24217455089092255,0.45617908239364624,0.30164632201194763
negative,0.1301581710577011,0.6608700156211853,0.20897182822227478
positive,0.5049775242805481,0.29804396629333496,0.19697855412960052
positive,0.8409489393234253,0.10343848913908005,0.055612560361623764
